StationCode,PriceUpdatedDate,FuelCode,Price
17798,2021-03-13 18:32:13,E10,137.9
18163,2021-03-13 18:56:02,E10,131.9
17798,2021-03-13 19:01:34,E10,132.9
18163,2021-03-14 00:28:32,E10,136.9
17798,2021-03-14 00:32:34,E10,137.9
17109,2021-03-14 06:54:15,E10,137.9
1090,2021-03-14 07:13:30,E10,134.9
1090,2021-03-14 08:01:53,E10,132.9
18163,2021-03-14 08:21:17,E10,137.9
675,2021-03-14 09:52:41,E10,137.9
274,2021-03-14 17:36:59,E10,136.4
17798,2021-03-14 17:56:42,E10,136.4
18163,2021-03-14 18:58:47,E10,131.9
17798,2021-03-14 19:01:12,E10,131.4
1090,2021-03-14 19:02:10,E10,127.9
18163,2021-03-14 20:39:12,E10,136.4
274,2021-03-14 21:08:31,E10,135.9
18163,2021-03-15 00:19:27,E10,136.9
1090,2021-03-15 04:06:54,E10,132.9
17798,2021-03-15 05:36:52,E10,136.4
1090,2021-03-15 07:12:46,E10,131.9
17798,2021-03-15 07:16:58,E10,135.9
18163,2021-03-15 07:23:39,E10,135.9
675,2021-03-15 07:52:50,E10,135.9
18163,2021-03-15 09:02:20,E10,135.9
1090,2021-03-15 18:10:34,E10,126.5
18163,2021-03-15 19:03:10,E10,130.9
17798,2021-03-15 19:40:45,E10,130.9
17798,2021-03-16 06:11:55,E10,135.9
18163,2021-03-16 06:28:14,E10,135.9
1090,2021-03-16 06:35:17,E10,129.9
18163,2021-03-16 09:44:03,E10,134.9
17798,2021-03-16 10:44:33,E10,134.9
18163,2021-03-16 11:28:49,E10,134.9
274,2021-03-16 12:12:26,E10,135.4
675,2021-03-16 12:49:38,E10,134.9
274,2021-03-16 13:44:32,E10,134.9
274,2021-03-16 13:56:43,E10,134.7
274,2021-03-16 14:08:39,E10,134.5
274,2021-03-16 15:24:30,E10,133.9
17798,2021-03-16 15:49:03,E10,133.9
18163,2021-03-16 16:33:00,E10,133.9
675,2021-03-16 16:37:33,E10,133.9
274,2021-03-16 17:44:33,E10,133.4
18163,2021-03-16 18:57:50,E10,129.9
1090,2021-03-16 19:07:59,E10,124.9
17798,2021-03-16 19:12:15,E10,128.9
274,2021-03-16 19:56:58,E10,132.7
1090,2021-03-16 22:54:52,E10,129.9
18163,2021-03-17 04:15:39,E10,134.9
17798,2021-03-17 05:48:25,E10,133.9
1090,2021-03-17 06:00:28,E10,128.9
17798,2021-03-17 07:35:17,E10,132.5
18163,2021-03-17 07:37:39,E10,132.7
18163,2021-03-17 07:45:21,E10,132.9
274,2021-03-17 07:52:52,E10,132.5
274,2021-03-17 08:24:54,E10,132.4
18163,2021-03-17 08:43:28,E10,132.5
274,2021-03-17 09:32:57,E10,131.9
17798,2021-03-17 09:44:41,E10,131.9
18163,2021-03-17 10:13:31,E10,131.9
274,2021-03-17 11:09:18,E10,131.7
18163,2021-03-17 11:56:07,E10,131.9
274,2021-03-17 12:09:10,E10,131.4
17798,2021-03-17 13:02:48,E10,131.4
18163,2021-03-17 13:03:12,E10,131.4
274,2021-03-17 13:24:46,E10,130.9
17798,2021-03-17 14:25:26,E10,130.9
18163,2021-03-17 14:38:35,E10,130.9
17109,2021-03-17 14:42:32,E10,130.9
274,2021-03-17 15:08:54,E10,130.7
274,2021-03-17 15:25:07,E10,130.4
274,2021-03-17 15:41:14,E10,129.9
17798,2021-03-17 15:59:51,E10,129.9
18163,2021-03-17 16:50:26,E10,129.9
18163,2021-03-17 17:49:26,E10,129.9
18163,2021-03-17 18:59:06,E10,124.9
1090,2021-03-17 19:01:35,E10,123.9
17798,2021-03-17 19:19:54,E10,124.9
675,2021-03-17 22:04:53,E10,129.9
1090,2021-03-17 22:24:07,E10,128.9
18163,2021-03-18 04:18:00,E10,129.9
17798,2021-03-18 05:19:19,E10,129.9
1090,2021-03-18 05:47:01,E10,128.7
1090,2021-03-18 18:57:48,E10,123.7
18163,2021-03-18 18:59:04,E10,124.9
17798,2021-03-18 19:01:14,E10,124.9
1090,2021-03-18 22:26:10,E10,128.7
18163,2021-03-19 04:15:23,E10,129.9
17798,2021-03-19 05:44:49,E10,129.9
1090,2021-03-19 07:56:30,E10,127.9
17109,2021-03-19 12:21:57,E10,127.9
17798,2021-03-19 12:53:42,E10,127.9
274,2021-03-19 13:01:05,E10,127.9
18163,2021-03-19 14:08:01,E10,127.9
18163,2021-03-19 14:08:46,E10,127.7
18163,2021-03-19 14:24:08,E10,127.9
675,2021-03-19 15:05:31,E10,127.9
18163,2021-03-19 18:59:59,E10,122.7
1090,2021-03-19 19:02:59,E10,122.9
17798,2021-03-19 19:57:10,E10,122.9
1090,2021-03-20 00:19:41,E10,127.9
18163,2021-03-20 02:42:19,E10,127.7
17798,2021-03-20 05:39:40,E10,127.9
1090,2021-03-20 06:59:58,E10,126.9
1090,2021-03-20 18:10:45,E10,121.9
18163,2021-03-20 18:55:21,E10,122.7
17798,2021-03-20 18:55:22,E10,122.9
1090,2021-03-20 22:55:22,E10,126.9
17798,2021-03-21 01:57:33,E10,127.9
18163,2021-03-21 02:25:36,E10,127.7
1090,2021-03-21 18:00:23,E10,121.9
18163,2021-03-21 19:00:16,E10,122.7
17798,2021-03-21 19:09:04,E10,122.9
18163,2021-03-21 21:51:47,E10,127.7
1090,2021-03-21 21:57:37,E10,126.9
17798,2021-03-22 05:23:38,E10,127.9
1090,2021-03-22 05:49:05,E10,126.5
1090,2021-03-22 18:06:40,E10,121.5
18163,2021-03-22 19:00:28,E10,122.7
17798,2021-03-22 19:09:23,E10,122.9
1090,2021-03-22 22:24:33,E10,126.5
18163,2021-03-23 00:20:35,E10,127.7
17798,2021-03-23 05:24:14,E10,127.9
18163,2021-03-23 18:54:41,E10,122.7
17798,2021-03-23 19:07:17,E10,122.9
1090,2021-03-23 19:08:57,E10,121.5
1090,2021-03-23 22:55:56,E10,126.5
18163,2021-03-24 01:57:58,E10,127.7
17798,2021-03-24 05:26:08,E10,127.9
18163,2021-03-24 18:53:38,E10,122.7
1090,2021-03-24 19:05:16,E10,121.5
17798,2021-03-24 19:52:10,E10,122.9
1090,2021-03-24 22:30:01,E10,126.5
18163,2021-03-25 00:26:05,E10,127.7
17798,2021-03-25 05:40:46,E10,127.9
274,2021-03-25 11:24:39,E10,127.4
17798,2021-03-25 11:58:41,E10,126.9
18163,2021-03-25 12:43:52,E10,127.4
274,2021-03-25 13:32:37,E10,126.9
18163,2021-03-25 14:04:49,E10,126.9
17798,2021-03-25 18:58:19,E10,121.9
1090,2021-03-25 19:03:50,E10,121.5
675,2021-03-25 20:05:18,E10,126.9
1090,2021-03-25 22:31:13,E10,126.5
17798,2021-03-26 05:24:07,E10,126.9
